epoch,rate/ratio,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
13,0.3,13.470039367675781,0.00015875227997353048,resnet18,1.1407891309749314,78.09,86.71058783125346,95.62916220065318,64.09116342306771,59.83569146508444,61.83265992529755,35.85561637031567,20.08909434080124,12.017422914505005,60.47
14,0.3,13.657716751098633,0.00011004953184359529,resnet18,1.1671133500472628,78.18,86.64037126478907,95.67806002211832,63.349814890033926,60.540788267644366,61.279825718225766,35.524841090508076,19.88959312438965,11.972553730010986,60.91
20,0.3,26.004595041275024,0.0003469095975723917,resnet18,0.8156473204493523,77.91,86.88058309668752,95.69856068709213,64.11391308436627,60.434585785423266,61.667812299408546,35.24353789828092,20.14160454273224,12.086198329925537,60.71
1,0.5,30.49139904975891,0.0009868428939364422,resnet18,0.9002931915223599,76.37,85.73662555909874,94.93101331072762,63.09360301954287,62.886161658908165,71.40447467501703,40.98290173896878,15.65011441707611,12.237106561660767,63.1
2,0.5,19.212820529937744,0.0009630389482326792,resnet18,0.965111668147738,77.69,86.19333443683908,95.40618757803023,63.25308063891182,61.13850291349171,64.5760923331682,37.59955393848262,18.177728354930878,11.985169649124146,61.27
3,0.5,18.67165994644165,0.0009240111579880032,resnet18,0.9986964574881962,77.78,86.28872626270085,95.47373476806203,62.98544037173508,61.296129612961295,63.836119220890204,37.086258998099375,18.18668097257614,11.83854341506958,61.61
4,0.5,17.947086811065674,0.0008727285062935803,resnet18,3.77092703183492,77.51,86.36905038831175,95.45878239471261,63.51447029227676,61.22721209426412,64.54357092647497,37.11054716241471,18.311259150505066,11.937031745910645,61.58
5,0.5,18.24415421485901,0.0008133167040411897,resnet18,1.1727145986819487,78.16,86.40383760090131,95.60082869416662,62.620489147964584,61.675824175824175,61.97987060889974,36.175629131885444,19.4340318441391,11.887611150741577,62.0
6,0.5,21.468044996261597,0.0007485470989871637,resnet18,1.1385444549092074,78.02,86.6376595768006,95.64506003644442,63.980327641020615,60.10009099181074,61.887211480553795,35.736738366408815,19.03078258037567,11.82599425315857,60.33
7,0.5,20.659712553024292,0.000675428586939104,resnet18,1.185992789765199,77.92,86.76129351824986,95.65449310068705,63.90594610525777,59.64673913043478,62.01325943296994,35.613940201620025,19.033248722553253,11.862962245941162,59.96
8,0.5,20.59410810470581,0.0006000842832413901,resnet18,1.0661396337182898,78.01,86.53558192274762,95.59701652381216,63.055695103592655,60.89131423374261,62.31567524141241,36.14037522018948,19.97222751379013,12.021501064300537,61.12
9,0.5,20.57595133781433,0.0005192512766027472,resnet18,5.923095703125,77.76,86.45915154450515,95.52971300419108,62.636930851942665,61.87050359712231,63.41850562759841,36.618362517600225,18.80487948656082,11.976516246795654,62.01
10,0.5,20.578612327575684,0.00044093648043583484,resnet18,0.9981667528981748,77.94,86.70517060918843,95.64808305165933,64.12071442511488,60.290117860380775,62.02965682621677,35.680209435042265,19.96171623468399,12.034831047058105,60.38
11,0.5,21.976592302322388,0.0003676145956394458,resnet18,1.0563846332270925,78.11,86.66322207047857,95.66601716521915,63.54086803771368,59.98172681589767,61.52097969135525,35.593372162748324,20.210495591163635,12.043797969818115,60.07
12,0.5,24.649227142333984,0.000293927526769223,resnet18,1.0326094008699247,78.09,86.6133787863937,95.67123671317381,63.240599911717425,60.200821542674575,61.542117446248454,35.565073891266586,20.35345882177353,12.103451490402222,60.66
13,0.5,20.27839493751526,0.00022532695776467484,resnet18,1.125497531890869,77.86,86.95158439939567,95.70694831558801,64.54091243425417,58.85275519421861,61.69547999803255,35.14623718521421,19.903969764709473,12.066793441772461,59.12
