epoch,rate/ratio,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
14,0.3,10.801358461380005,0.00020690126647990973,wrn,0.20463873445987701,75.95,86.43800016150246,95.3792763775107,63.89749919535475,63.99168399168399,68.9385285655498,37.37314836627184,10.666678845882416,10.088715553283691,64.32
15,0.3,10.585379362106323,0.00014730016279731955,wrn,0.27096137404441833,76.19,86.2722914855261,95.38647508505558,62.685641568404826,65.01469970600589,68.3438040056877,37.43486372255528,10.459679365158081,10.068243741989136,65.31
16,0.3,11.129018783569336,9.63960113097138e-05,wrn,0.24690715968608856,76.21,86.31749928393586,95.3977026787516,62.67122903721143,64.56494325346785,68.19450012263607,37.33992158473683,10.501403361558914,10.050504207611084,64.82
17,0.3,11.20054817199707,5.54422411679103e-05,wrn,0.22732803225517273,76.12,86.49869376660848,95.44014554136714,63.797530012703284,64.69849246231156,68.04692053769409,36.947300615674635,10.582374781370163,10.046217441558838,64.87
18,0.3,10.730419397354126,2.544727011057081e-05,wrn,0.11937986314296722,76.07,86.56791194201617,95.44252976461078,63.87357687613024,63.39323025491016,68.1249106642258,36.88869692006105,10.639716684818268,10.065087080001831,63.44
19,0.3,10.41385793685913,7.14967387272874e-06,wrn,0.20750238001346588,76.12,86.40359795122046,95.39883054441863,63.5385531850284,64.86599664991624,68.3814458834696,37.281825961450146,10.476136952638626,10.033730268478394,65.16
20,0.3,10.529995918273926,1e-06,wrn,0.2632884681224823,75.96,86.61578276157256,95.42708137606968,64.58813295082258,64.18469217970049,68.49847212657741,36.96059484000448,10.609740018844604,10.036845207214355,64.48
1,0.5,13.353660821914673,0.0009938503261272714,wrn,0.46999311447143555,75.92,86.5474733632885,95.41573219248535,63.779067967940776,64.74252491694352,68.71813239929813,37.0701644556274,10.169397294521332,9.898502230644226,64.83
2,0.5,8.357192993164062,0.0009755527298894293,wrn,0.2725337743759155,75.65,86.58862072849811,95.3587453247923,64.99255870674865,63.49075975359343,69.79858342891545,37.40198559160957,10.39629727602005,9.994800090789795,63.7
3,0.5,7.802687406539917,0.0009455577588320897,wrn,0.5138949155807495,76.02,86.27096837472426,95.37063695962583,62.767718002422235,67.01417848206839,68.89473052165641,37.52159431065318,10.136381536722183,9.921875,67.22
4,0.5,7.774824857711792,0.0009046039886902862,wrn,0.38811028003692627,75.62,86.6478836477626,95.41430146685511,63.99436671508935,64.10992616899097,69.47416524514229,36.9937920917776,10.503021627664566,10.005942583084106,64.19
5,0.5,8.172531127929688,0.0008536998372026805,wrn,0.5503302812576294,75.86,86.47136693394341,95.39947422690129,63.571961629622464,63.83595691797845,69.02464671159257,37.211147594751594,10.373593866825104,9.976317286491394,64.25
6,0.5,8.240887880325317,0.0007940987335200903,wrn,0.47889843583106995,75.66,86.79973939548353,95.45618925848565,65.32107580094359,63.22925225965489,68.99256662059314,36.62386744876847,10.572825372219086,10.021421909332275,63.35
7,0.5,7.9478676319122314,0.0007272682546199036,wrn,0.33259332180023193,75.67,86.79793841680983,95.46710944284197,64.93882946505589,63.25524044389642,68.8952629904977,36.554449267130664,10.66725105047226,10.026545524597168,63.63
8,0.5,7.850686550140381,0.0006548539886902863,wrn,0.364481121301651,75.85,86.55123780044246,95.41580623407499,64.21418827530832,64.09937888198758,68.88861767064729,37.04748389745509,10.589506477117538,10.028177499771118,64.22
