epoch,rate,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
15,0.3,21.10375189781189,0.00014730016279731955,resnet18,0.01423414796590805,78.83,87.21391577613815,96.03825090676364,63.53019109023171,58.95134624468588,56.95105191734581,32.769137004645,4.6306125819683075,8.804634809494019,59.28
16,0.3,21.214761972427368,9.63960113097138e-05,resnet18,0.03288095444440842,78.68,87.42100545492177,96.09984014650875,63.79134540425719,58.489681050656664,56.75436970883264,32.21421194205164,4.399040341377258,8.801260590553284,58.82
17,0.3,21.053478717803955,5.54422411679103e-05,resnet18,0.015001180581748486,78.92,87.14827591844742,96.06342835258997,63.125766729626065,60.104364326375716,56.582553543175536,32.61421395791324,4.762318730354309,8.798636794090271,60.44
18,0.3,21.08180546760559,2.544727011057081e-05,resnet18,0.010208704508841038,78.78,87.35630894706958,96.08157848155197,63.67457532639422,59.28369462770971,56.697429393384674,32.39641760261682,4.484979063272476,8.771224617958069,59.38
19,0.3,21.004822492599487,7.14967387272874e-06,resnet18,0.011927580460906029,78.82,87.24777879290833,96.0625685858206,63.445676982795106,59.112370160528805,56.78057629342035,32.57486738259677,4.64499369263649,8.80122184753418,59.35
20,0.3,20.996929168701172,1e-06,resnet18,0.010175550356507301,78.87,87.19799323513726,96.06311630552159,63.090550321302864,59.58353052531945,56.68082047052995,32.593954711149884,4.586879163980484,8.800758719444275,59.91
1,0.5,19.319551467895508,0.0009938503261272714,resnet18,0.023123357445001602,78.74,87.31417401687108,96.08161285634179,64.07370106263843,60.53621825023519,56.79311786936069,32.396600101407124,4.516309127211571,8.839892745018005,60.91
2,0.5,14.864747047424316,0.0009755527298894293,resnet18,0.020755823701620102,78.69,87.20921883739237,96.02327585104483,63.588007012657165,60.15954950727358,57.38102206895993,32.86483606683974,4.708249121904373,8.826526403427124,60.39
3,0.5,14.43171501159668,0.0009455577588320897,resnet18,0.029815271496772766,78.92,87.20736344829774,96.11159610335342,63.150254949374116,59.867172675521815,56.19583561912867,32.22749603386638,4.581050202250481,8.804649710655212,60.01
4,0.5,14.315436840057373,0.0009046039886902862,resnet18,0.031254637986421585,78.86,87.1099005194888,96.02071474325788,63.03685257075624,59.31882686849575,57.05007089357357,32.93946186852163,4.818090051412582,8.838738203048706,59.65
5,0.5,14.752617835998535,0.0008536998372026805,resnet18,0.057948023080825806,78.71,87.18347861378395,95.98139337457724,63.6711281282014,59.22968529826209,57.66201434773246,33.193733752263334,4.583559185266495,8.87268841266632,59.75
6,0.5,14.459025621414185,0.0007940987335200903,resnet18,0.016874462366104126,78.73,87.19616614746406,96.02358857383459,63.38829607339438,59.23836389280677,57.29156564386871,32.87113963558637,4.595824331045151,8.858345746994019,59.33
7,0.5,14.461165189743042,0.0007272682546199036,resnet18,0.024936586618423462,78.81,87.07605803864337,96.00901838224907,63.23212823205354,59.93393109957527,57.25226995210639,33.022754356024784,4.722052812576294,8.861303925514221,60.5
8,0.5,14.505825519561768,0.0006548539886902863,resnet18,0.0179298035800457,78.75,87.3209725490196,96.0688888975193,63.991984993966724,59.01176470588235,56.859298914797044,32.48667668714686,4.6163056045770645,8.834257125854492,59.39
