epoch,rate/ratio,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
11,0.3,10.560129165649414,0.0004223609847124046,wrn,0.22349558770656586,75.97,86.56912011229876,95.42627886056087,64.22078801544453,64.87723678734915,68.50245708686863,36.99206954817717,10.486205667257309,9.978230595588684,65.04
12,0.3,10.883859872817993,0.0003461460113097138,wrn,0.2228243201971054,75.86,86.62562680872693,95.42438789017432,64.73651569252843,64.37448218724109,68.76747424153434,36.953975124693365,10.684719681739807,10.060725212097168,64.71
13,0.3,10.690004110336304,0.00027373174538009644,wrn,0.1097298339009285,75.85,86.65575103963228,95.44875585429986,64.1209599318129,64.18219461697723,68.6117906810635,36.770656907871306,10.81141084432602,10.097259283065796,64.35
14,0.3,10.972197532653809,0.00020690126647990973,wrn,0.16685152053833008,75.88,86.63269162009318,95.44737284091369,64.30895984547969,65.25704809286898,68.55014489479777,36.79187554586344,10.69202721118927,10.031460523605347,65.3
15,0.3,10.570636987686157,0.00014730016279731955,wrn,0.2692188024520874,75.87,86.62183132084454,95.43458386483857,64.28849352428902,64.77414007459595,68.6748466711337,36.88896902846614,10.645219683647156,10.040806531906128,65.11
16,0.3,10.641798973083496,9.63960113097138e-05,wrn,0.34069618582725525,75.9,86.75442682280135,95.49007719758397,64.39500611483253,64.19087136929461,68.14393273464832,36.44084043880723,10.739043354988098,10.005379915237427,64.44
17,0.3,10.722131729125977,5.54422411679103e-05,wrn,0.1934881955385208,75.94,86.65422465695126,95.46687399706308,63.9069274152068,65.54447215295096,68.2527278583479,36.659831579807914,10.644354671239853,10.019922256469727,66.04
18,0.3,10.891982555389404,2.544727011057081e-05,wrn,0.23171912133693695,75.87,86.57232683274896,95.40615477911736,64.16426869702923,64.27683381682553,68.89728603791795,37.1114083952504,10.602161288261414,10.072970390319824,64.73
19,0.3,10.633207559585571,7.14967387272874e-06,wrn,0.29406192898750305,76.02,86.59230023528772,95.46160335700904,63.97668978763296,64.6371976647206,68.10324504063962,36.730108829636386,10.576024651527405,10.001020431518555,65.01
20,0.3,11.310474634170532,1e-06,wrn,0.21165214478969574,76.0,86.51484375,95.43593011212262,63.87108043682833,64.5,68.3711063844905,36.94310911782836,10.579878091812134,10.023202896118164,64.71
1,0.5,13.593597650527954,0.0009938503261272714,wrn,0.4956297278404236,75.91,86.46684241169778,95.38260953859482,64.4250410784394,64.42507264425072,69.0072543984915,37.33173086548304,10.095269978046417,9.892123341560364,64.72
2,0.5,8.149617195129395,0.0009755527298894293,wrn,0.4068281054496765,75.86,86.54169554477343,95.43667317556199,63.785339792951866,66.28003314001657,68.72025269077712,36.906753573936136,10.121618211269379,9.852170944213867,66.32
3,0.5,8.817744970321655,0.0009455577588320897,wrn,0.1826578676700592,75.94,86.29914875702501,95.34271608458116,64.18105414229296,64.46384039900249,69.27587937083057,37.682983092290584,10.338765382766724,9.99174416065216,64.92
4,0.5,8.15721344947815,0.0009046039886902862,wrn,0.3705088198184967,75.84,86.28972505728336,95.33366243662458,62.93796739150823,66.26655629139073,69.6159349984525,37.7471533849934,10.257087647914886,9.987967014312744,66.31
5,0.5,7.970264434814453,0.0008536998372026805,wrn,0.25893664360046387,75.99,86.35744395004954,95.39120651183501,63.48146569775444,65.72261557684298,68.78664836053615,37.33120083006784,10.016398131847382,9.886162877082825,66.06
6,0.5,8.274749279022217,0.0007940987335200903,wrn,0.2851318418979645,75.8,86.54134957151267,95.40017821322661,64.15705830361848,64.62809917355372,69.13630177058994,37.15679692213211,10.333150625228882,9.93775188922882,64.88
7,0.5,8.013521194458008,0.0007272682546199036,wrn,0.3631954789161682,75.75,86.703456160049,95.43510531014883,64.46688833544914,65.03092783505154,68.96077446266823,36.8425687236174,10.478785634040833,9.963193535804749,65.2
8,0.5,9.612443208694458,0.0006548539886902863,wrn,0.3500663638114929,75.96,86.32727379065433,95.37239544344453,63.505726577501505,65.97337770382696,69.02114541887178,37.48326813229885,10.146933048963547,10.007113218307495,66.35
